Time [s];Mass² [g²];;;;
198,593015;7,24068E-07;;;;
199,639017;7,56282E-07;;;;
200,682014;7,81339E-07;;;;
201,728015;1,05133E-06;;;;
202,772066;1,13057E-06;;;;
203,818018;1,16435E-06;;;;
204,864011;1,21486E-06;;;;
205,90802;1,34984E-06;;;;
206,953017;1,48952E-06;;;;
207,997015;1,53313E-06;;;;
209,043014;1,60347E-06;;;;
210,08901;1,75149E-06;;;;
211,133015;1,7255E-06;;;;
212,178023;1,9183E-06;;;;
213,222017;2,07279E-06;;;;
214,268017;2,2732E-06;;;;
215,314013;2,4813E-06;;;;
216,358017;2,48596E-06;;;;
217,404014;2,5611E-06;;;;
218,447016;2,615E-06;;;;
219,493017;2,91307E-06;;;;
220,539011;3,00972E-06;;;;
221,583027;3,18135E-06;;;;
222,629081;3,22368E-06;;;;
223,673018;3,34511E-06;;;;
224,71802;3,3994E-06;;;;
225,764013;3,43218E-06;;;;
226,808022;3,76866E-06;;;;
227,856025;4,0989E-06;;;;
228,900028;4,23568E-06;;;;
229,946029;4,41604E-06;;;;
230,989038;4,55167E-06;;;;
232,035019;4,62343E-06;;;;
233,081024;4,78371E-06;;;;
234,125034;4,99066E-06;;;;
235,171025;5,36278E-06;;;;
236,214018;5,51677E-06;;;;
237,260021;5,56781E-06;;;;
238,306027;5,71291E-06;;;;
239,350026;6,04257E-06;;;;
240,39603;6,45137E-06;;;;
241,440027;6,54683E-06;;;;
242,485026;6,7092E-06;;;;
243,52902;6,84E-06;;;;
244,575032;6,96167E-06;;;;
245,621041;7,18179E-06;;;;
246,665035;7,29846E-06;;;;
247,731042;7,55627E-06;;;;
248,776031;8,02378E-06;;;;
249,820065;8,32524E-06;;;;
250,866026;8,57733E-06;;;;
251,91003;8,67574E-06;;;;
252,956022;8,61778E-06;;;;
254,001026;9,00091E-06;;;;
255,045041;9,31101E-06;;;;
256,091029;9,52877E-06;;;;
257,13503;9,5714E-06;;;;
258,181029;9,86631E-06;;;;
259,227018;1,05047E-05;;;;
260,27003;1,07617E-05;;;;
261,316031;1,08654E-05;;;;
262,360033;1,10874E-05;;;;
263,406023;1,1163E-05;;;;
264,450035;1,12158E-05;;;;
265,496032;1,17399E-05;;;;
266,539036;1,24596E-05;;;;
267,585033;1,27043E-05;;;;
268,631039;1,31186E-05;;;;
269,675032;1,34093E-05;;;;
270,721031;1,35178E-05;;;;
271,76702;1,32618E-05;;;;
272,830037;1,40039E-05;;;;
273,876058;1,45663E-05;;;;
274,920054;1,4846E-05;;;;
275,966035;1,48497E-05;;;;
277,012021;1,53475E-05;;;;
278,055074;1,60305E-05;;;;
279,101033;1,61056E-05;;;;
280,145037;1,63517E-05;;;;
281,191033;1,65596E-05;;;;
282,237021;1,67647E-05;;;;
283,281042;1,7024E-05;;;;
284,326028;1,74042E-05;;;;
285,370037;1,77554E-05;;;;
286,416033;1,81898E-05;;;;
287,462029;1,84556E-05;;;;
288,506036;1,89628E-05;;;;
289,552057;1,96512E-05;;;;
290,595038;2,00199E-05;;;;
291,641073;2,03075E-05;;;;
292,687021;2,0312E-05;;;;
293,731034;2,03875E-05;;;;
294,777025;2,08754E-05;;;;
295,821035;2,14374E-05;;;;
296,866036;2,15014E-05;;;;
297,91203;2,24436E-05;;;;
298,956036;2,43693E-05;;;;
