Time [s];Mass² [g²];;;;
0;0,000307348;;;;
1,365994;0,00031861;;;;
2,916023;0,000318557;;;;
4,219987;0,000315119;;;;
5,527981;0,000312448;;;;
6,832981;0,000307936;;;;
8,138984;0,000305899;;;;
9,444984;0,000300238;;;;
10,752981;0,000296069;;;;
12,057982;0,000293075;;;;
13,363985;0,000294359;;;;
14,933993;0,000293109;;;;
16,237986;0,000290533;;;;
17,54601;0,000290231;;;;
18,851002;0,000280394;;;;
20,156986;0,00027804;;;;
21,462986;0,00027781;;;;
22,770984;0,000277908;;;;
24,075983;0,000276825;;;;
25,381988;0,000274518;;;;
26,687992;0,000274028;;;;
27,995986;0,000272578;;;;
29,301994;0,000268833;;;;
30,606987;0,000260736;;;;
31,912989;0,000259655;;;;
33,21899;0,000260195;;;;
34,526986;0,000258608;;;;
35,83199;0,000251401;;;;
37,13799;0,000247696;;;;
38,443995;0,000250854;;;;
39,751985;0,00025223;;;;
41,057986;0,000252057;;;;
42,382993;0,000251495;;;;
43,709006;0,000255354;;;;
45,036998;0,000247975;;;;
46,342989;0,00024388;;;;
47,648999;0,000240781;;;;
48,973992;0,000241087;;;;
50,281993;0,000239468;;;;
51,587993;0,000237702;;;;
52,893993;0,000237505;;;;
54,200987;0,000236382;;;;
55,506988;0,000234628;;;;
56,812992;0,000231679;;;;
58,118992;0,000230421;;;;
59,427002;0,000229315;;;;
60,75199;0,000226148;;;;
62,057997;0,000224757;;;;
63,363998;0,000221489;;;;
64,691987;0,000220742;;;;
66,016992;0,000219236;;;;
67,322997;0,000219105;;;;
68,628993;0,000218959;;;;
69,936998;0,000216081;;;;
71,262997;0,0002139;;;;
72,567994;0,000213482;;;;
73,895996;0,000210869;;;;
75,221991;0,000210583;;;;
76,547996;0,000208657;;;;
77,852996;0,000201251;;;;
79,160989;0,000202133;;;;
80,466994;0,000203213;;;;
81,773004;0,000203635;;;;
83,078998;0,000202343;;;;
84,385993;0,000199772;;;;
85,691997;0,000198021;;;;
86,997999;0,000197619;;;;
88,303996;0,000197065;;;;
89,611989;0,000194336;;;;
90,916994;0,000193129;;;;
92,223039;0,000190196;;;;
93,528997;0,000186921;;;;
95,097011;0,000183902;;;;
96,401997;0,000183301;;;;
97,710125;0,000185375;;;;
99,015994;0,000184852;;;;
100,061996;0,000184919;;;;
101,387998;0,000186463;;;;
102,693013;0,000188785;;;;
103,999031;0,000185603;;;;
105,306994;0,000182741;;;;
106,613006;0,000177859;;;;
107,918;0,000176573;;;;
109,223997;0,000174627;;;;
110,531993;0,000175997;;;;
111,837996;0,000173496;;;;
113,143999;0,000172343;;;;
114,449004;0,000172149;;;;
115,754998;0,000170266;;;;
117,063001;0,000169804;;;;
118,368995;0,00016915;;;;
119,674;0,000168497;;;;
120,979999;0,000165301;;;;
122,288001;0,000164314;;;;
123,593996;0,000163696;;;;
124,920034;0,000160272;;;;
126,225002;0,000158505;;;;
127,533002;0,000157502;;;;
128,839002;0,000158803;;;;
130,145005;0,000158419;;;;
131,451001;0,000156022;;;;
132,757998;0,000155517;;;;
134,086001;0,00015412;;;;
135,412002;0,000153435;;;;
136,738032;0,000153338;;;;
138,042998;0,000152594;;;;
139,349002;0,000150895;;;;
140,716998;0,000149675;;;;
142,043002;0,000148339;;;;
143,369003;0,000146664;;;;
144,694006;0,000145639;;;;
146,022001;0,000144962;;;;
147,348001;0,000145128;;;;
149,258004;0,000142117;;;;
150,723005;0,000141319;;;;
152,051004;0,000140022;;;;
153,357;0,000137434;;;;
154,663013;0,000138417;;;;
156,230003;0,000137676;;;;
157,55806;0,000134218;;;;
158,884001;0,000133534;;;;
160,190003;0,00013581;;;;
161,516002;0,000135385;;;;
162,861004;0,000133545;;;;
164,169001;0,000132148;;;;
165,475005;0,00013005;;;;
166,781012;0,000127511;;;;
168,086005;0,000126334;;;;
169,394006;0,000123274;;;;
170,72;0,000122335;;;;
172,04801;0,000125914;;;;
173,374003;0,000123964;;;;
174,699008;0,00011765;;;;
175,705006;0,000115522;;;;
176,751006;0,000115332;;;;
177,755007;0,000117255;;;;
178,801007;0,000116488;;;;
179,844086;0,000116722;;;;
180,890006;0,000117918;;;;
181,936003;0,000117533;;;;
182,980012;0,000116924;;;;
184,026007;0,000117266;;;;
185,070004;0,000117383;;;;
186,115006;0,000116318;;;;
187,161004;0,000116074;;;;
188,205011;0,00011548;;;;
189,251042;0,000115734;;;;
190,295008;0,000114613;;;;
191,341009;0,000107613;;;;
192,386061;0,000106156;;;;
193,430013;0,000109605;;;;
194,476005;0,000109904;;;;
195,520008;0,000109502;;;;
196,566008;0,000109389;;;;
197,612004;0,00010909;;;;
198,655016;0,000108453;;;;
199,701003;0,000107225;;;;
200,745009;0,000106858;;;;
201,791009;0,000106156;;;;
202,837005;0,000105801;;;;
203,880013;0,000105396;;;;
204,926006;0,000104699;;;;
205,970011;0,000102363;;;;
207,016008;0,000101368;;;;
208,060013;0,000100952;;;;
209,10601;0,000100063;;;;
210,151007;9,92756E-05;;;;
211,19501;9,86678E-05;;;;
212,241008;9,93051E-05;;;;
213,285013;9,96688E-05;;;;
214,331025;9,80814E-05;;;;
215,37701;9,6875E-05;;;;
216,42001;9,6652E-05;;;;
217,466008;9,57628E-05;;;;
218,510009;9,48585E-05;;;;
219,556014;9,42643E-05;;;;
220,60203;9,3968E-05;;;;
221,646014;9,41974E-05;;;;
222,691007;9,34052E-05;;;;
223,735011;9,22469E-05;;;;
224,781011;8,90198E-05;;;;
225,827007;8,71792E-05;;;;
226,871019;8,62066E-05;;;;
227,916009;8,55947E-05;;;;
228,960016;8,58684E-05;;;;
230,006022;8,54216E-05;;;;
231,05201;8,41332E-05;;;;
232,096012;8,30161E-05;;;;
233,142011;8,24246E-05;;;;
234,185013;8,30251E-05;;;;
235,231019;8,38532E-05;;;;
236,277008;8,21475E-05;;;;
237,321013;7,90074E-05;;;;
238,367013;7,94986E-05;;;;
239,411021;7,96481E-05;;;;
240,456013;8,01325E-05;;;;
241,502014;8,01149E-05;;;;
242,546017;7,92265E-05;;;;
243,592011;7,83954E-05;;;;
244,636013;7,79685E-05;;;;
245,681011;7,78293E-05;;;;
246,727011;7,74299E-05;;;;
247,771016;7,72739E-05;;;;
248,777019;7,65394E-05;;;;
249,801016;7,63929E-05;;;;
250,847019;7,63584E-05;;;;
251,910018;7,46629E-05;;;;
252,916012;7,42888E-05;;;;
253,920015;7,36108E-05;;;;
254,966012;7,24655E-05;;;;
256,012084;7,20969E-05;;;;
257,036022;7,20467E-05;;;;
258,081012;7,09468E-05;;;;
259,125033;7,03918E-05;;;;
260,131017;7,02265E-05;;;;
261,175021;6,94113E-05;;;;
262,221038;6,90178E-05;;;;
263,267014;6,88624E-05;;;;
264,330019;6,92308E-05;;;;
265,376019;6,86744E-05;;;;
266,420125;6,77872E-05;;;;
267,466018;6,73093E-05;;;;
268,512016;6,68009E-05;;;;
269,594019;6,64631E-05;;;;
270,641014;6,56861E-05;;;;
271,687018;6,516E-05;;;;
