Time [s];Mass² [g²];;;;
221,565026;0,000834003;;;;
222,629022;0,000834117;;;;
223,695035;0,000833889;;;;
224,761021;0,000831984;;;;
225,825027;0,000839019;;;;
226,891044;0,000844394;;;;
227,956025;0,000844423;;;;
229,020028;0,000841476;;;;
230,006027;0,000840361;;;;
231,070034;0,000847117;;;;
232,13603;0,000851539;;;;
233,202016;0,000852431;;;;
234,265033;0,000855195;;;;
235,33103;0,000859234;;;;
236,397024;0,000860477;;;;
237,461048;0,000859177;;;;
238,52702;0,000858541;;;;
239,592017;0,000860304;;;;
240,656031;0,000860968;;;;
241,722019;0,000860477;;;;
242,786027;0,00086094;;;;
243,772019;0,000867487;;;;
244,838019;0,000869287;;;;
245,841051;0,000867254;;;;
246,907024;0,000861605;;;;
247,971036;0,000860072;;;;
249,037024;0,000859899;;;;
250,103017;0,000860853;;;;
251,107025;0,000867864;;;;
252,110066;0,000870857;;;;
253,116033;0,000874233;;;;
254,122016;0,000873447;;;;
255,186035;0,000870857;;;;
256,252019;0,000872078;;;;
257,317023;0,000874729;;;;
258,381035;0,000879924;;;;
259,447022;0,000881942;;;;
260,513019;0,000879223;;;;
261,577026;0,000870275;;;;
262,58302;0,000872486;;;;
263,646033;0,000887629;;;;
264,71202;0,000892892;;;;
265,778022;0,000890302;;;;
266,84203;0,000887864;;;;
267,908025;0,00088534;;;;
268,912022;0,000884871;;;;
269,977038;0,000884168;;;;
270,983021;0,0008871;;;;
271,987028;0,000892686;;;;
273,053023;0,000896753;;;;
274,057036;0,000898673;;;;
275,123023;0,000890861;;;;
276,126041;0,000892244;;;;
277,192021;0,000897846;;;;
278,258024;0,000898318;;;;
279,322064;0,000898466;;;;
280,388023;0,000902458;;;;
281,391038;0,000903228;;;;
282,457027;0,000903909;;;;
283,443035;0,000904027;;;;
284,447028;0,00090382;;;;
285,513026;0,00090382;;;;
286,517072;0,000905539;;;;
287,582023;0,000906993;;;;
288,646037;0,000909874;;;;
289,712029;0,000915411;;;;
290,778066;0,000918425;;;;
291,78204;0,000926026;;;;
292,848026;0,000901511;;;;
293,851042;0,000897285;;;;
294,917031;0,000895573;;;;
295,923025;0,000907497;;;;
296,927032;0,000918933;;;;
297,993027;0,000920427;;;;
298,997031;0,000914189;;;;
